timestamp,instance,iteration,seed,seconds
2025-10-20_19:03:28,Instance11,1,0.446463989,1.288
2025-10-20_19:03:33,Instance20,1,0.130463489,1.328
2025-10-20_19:03:34,Instance26,1,0.557484332,1.315
2025-10-20_19:03:35,Instance38,1,0.494317048,1.474
2025-10-20_19:03:37,Instance53,1,0.878595706,1.586
2025-10-20_19:03:39,Instance65,1,0.874946656,1.659
2025-10-20_19:03:40,Instance80,1,0.722951899,1.590
2025-10-20_19:03:42,Instance95,1,0.320344924,1.827
2025-10-20_19:03:44,Instance126,1,0.941303404,2.007
2025-10-20_19:03:46,Instance146,1,0.070618629,2.231
2025-10-20_19:03:49,Instance210,1,0.985893928,2.674
2025-10-20_19:03:53,Instance338,1,0.346797508,3.726
2025-10-20_19:07:57,Instance11,1,0.845077442,1.234
2025-10-20_19:07:58,Instance20,1,0.206914133,1.325
2025-10-20_19:08:00,Instance26,1,0.616218188,1.287
2025-10-20_19:08:01,Instance38,1,0.209988615,1.442
2025-10-20_19:08:03,Instance53,1,0.863775693,1.459
2025-10-20_19:08:04,Instance65,1,0.319744587,1.597
2025-10-20_19:08:06,Instance80,1,0.670504950,1.608
2025-10-20_19:08:08,Instance95,1,0.028291977,1.775
2025-10-20_19:08:10,Instance126,1,0.755992848,1.950
2025-10-20_19:08:12,Instance146,1,0.847599834,2.165
2025-10-20_19:08:15,Instance210,1,0.454535848,2.600
2025-10-20_19:08:22,Instance338,1,0.323042283,7.331
2025-10-20_19:08:23,Instance11,2,0.204133102,1.205
2025-10-20_19:08:25,Instance20,2,0.721982885,1.309
2025-10-20_19:08:26,Instance26,2,0.173299189,1.281
2025-10-20_19:08:27,Instance38,2,0.431774870,1.363
2025-10-20_19:08:29,Instance53,2,0.434116233,1.509
2025-10-20_19:08:30,Instance65,2,0.660909939,1.583
2025-10-20_19:08:32,Instance80,2,0.093165651,1.643
2025-10-20_19:08:34,Instance95,2,0.335634320,1.789
2025-10-20_19:08:36,Instance126,2,0.434348259,2.089
2025-10-20_19:08:38,Instance146,2,0.918010380,2.153
2025-10-20_19:08:41,Instance210,2,0.846958604,2.574
2025-10-20_19:08:44,Instance338,2,0.185517007,3.635
2025-10-20_19:08:46,Instance11,3,0.264574791,1.198
2025-10-20_19:08:47,Instance20,3,0.192334008,1.256
2025-10-20_19:08:48,Instance26,3,0.762296323,1.296
2025-10-20_19:08:50,Instance38,3,0.680416759,1.369
2025-10-20_19:08:54,Instance53,3,0.132145738,4.589
2025-10-20_19:08:56,Instance65,3,0.831695331,1.523
2025-10-20_19:08:57,Instance80,3,0.903559953,1.580
2025-10-20_19:08:59,Instance95,3,0.171801134,1.788
2025-10-20_19:09:01,Instance126,3,0.542609195,1.991
2025-10-20_19:09:03,Instance146,3,0.494567482,2.159
2025-10-20_19:09:06,Instance210,3,0.677545006,2.648
2025-10-20_19:09:10,Instance338,3,0.408156897,3.641
2025-10-20_19:09:11,Instance11,4,0.609969543,1.196
2025-10-20_19:09:12,Instance20,4,0.559212919,1.247
2025-10-20_19:09:14,Instance26,4,0.367668380,1.292
2025-10-20_19:09:15,Instance38,4,0.869025832,1.426
2025-10-20_19:09:17,Instance53,4,0.350315123,1.454
2025-10-20_19:09:18,Instance65,4,0.963048846,1.472
2025-10-20_19:09:20,Instance80,4,0.975688208,1.567
2025-10-20_19:09:21,Instance95,4,0.727591207,1.769
2025-10-20_19:09:24,Instance126,4,0.665487977,2.012
2025-10-20_19:09:26,Instance146,4,0.386721275,2.285
2025-10-20_19:09:32,Instance210,4,0.991408057,6.223
2025-10-20_19:09:36,Instance338,4,0.836459599,3.674
2025-10-20_19:09:37,Instance11,5,0.973723901,1.242
2025-10-20_19:09:38,Instance20,5,0.886553324,1.255
2025-10-20_19:09:40,Instance26,5,0.236081574,1.292
2025-10-20_19:09:41,Instance38,5,0.056370905,1.358
2025-10-20_19:09:43,Instance53,5,0.961725396,1.472
2025-10-20_19:09:44,Instance65,5,0.493247162,1.514
2025-10-20_19:09:46,Instance80,5,0.708263430,1.626
2025-10-20_19:09:48,Instance95,5,0.538416160,1.764
2025-10-20_19:09:50,Instance126,5,0.760569226,2.024
2025-10-20_19:09:52,Instance146,5,0.660612337,2.162
2025-10-20_19:09:54,Instance210,5,0.189519016,2.578
2025-10-20_19:09:58,Instance338,5,0.743974468,3.623
2025-10-20_19:09:59,Instance11,6,0.448977038,1.198
2025-10-20_19:10:01,Instance20,6,0.329149299,1.310
2025-10-20_19:10:02,Instance26,6,0.563740861,1.312
2025-10-20_19:10:07,Instance38,6,0.628161385,4.577
2025-10-20_19:10:08,Instance53,6,0.250687991,1.541
2025-10-20_19:10:10,Instance65,6,0.541055650,1.584
2025-10-20_19:10:11,Instance80,6,0.558665351,1.558
2025-10-20_19:10:13,Instance95,6,0.399392281,1.762
2025-10-20_19:10:15,Instance126,6,0.245084839,1.954
2025-10-20_19:10:17,Instance146,6,0.852278487,2.112
2025-10-20_19:10:20,Instance210,6,0.582486173,2.604
2025-10-20_19:10:24,Instance338,6,0.438457581,3.633
2025-10-20_19:10:25,Instance11,7,0.808091708,1.215
2025-10-20_19:10:26,Instance20,7,0.179541412,1.256
2025-10-20_19:10:27,Instance26,7,0.959006990,1.270
2025-10-20_19:10:29,Instance38,7,0.279160171,1.393
2025-10-20_19:10:30,Instance53,7,0.247745405,1.508
2025-10-20_19:10:32,Instance65,7,0.962212449,1.672
2025-10-20_19:10:34,Instance80,7,0.586353037,1.550
2025-10-20_19:10:35,Instance95,7,0.436854671,1.756
2025-10-20_19:10:37,Instance126,7,0.129152299,1.972
2025-10-20_19:10:43,Instance146,7,0.431304112,5.758
2025-10-20_19:10:46,Instance210,7,0.577468410,2.629
2025-10-20_19:10:50,Instance338,7,0.577611202,3.673
2025-10-20_19:10:51,Instance11,8,0.796200832,1.200
2025-10-20_19:10:52,Instance20,8,0.748249940,1.303
2025-10-20_19:10:53,Instance26,8,0.507079036,1.293
2025-10-20_19:10:55,Instance38,8,0.456824217,1.398
2025-10-20_19:10:56,Instance53,8,0.616968827,1.500
2025-10-20_19:10:58,Instance65,8,0.115192463,1.510
2025-10-20_19:11:00,Instance80,8,0.984140793,1.611
2025-10-20_19:11:01,Instance95,8,0.959295089,1.755
2025-10-20_19:11:03,Instance126,8,0.710451293,2.012
2025-10-20_19:11:06,Instance146,8,0.306700600,2.252
2025-10-20_19:11:08,Instance210,8,0.715534158,2.620
2025-10-20_19:11:12,Instance338,8,0.163737082,3.610
2025-10-20_19:11:13,Instance11,9,0.511777681,1.233
2025-10-20_19:11:18,Instance20,9,0.161929759,4.519
